date,ccode,cn,Country,year,idc,ldc,emg,eap,eca,mena,sa,we,na,ssa,lac,oil,emg2,fc,ez,euro_start
1/1/2014,USA,111,United States,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2014,USA,111,United States,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2014,USA,111,United States,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2014,USA,111,United States,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2015,USA,111,United States,2015,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2015,USA,111,United States,2015,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2015,USA,111,United States,2015,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2015,USA,111,United States,2015,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2016,USA,111,United States,2016,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2016,USA,111,United States,2016,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2016,USA,111,United States,2016,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2016,USA,111,United States,2016,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2017,USA,111,United States,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2017,USA,111,United States,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2017,USA,111,United States,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2017,USA,111,United States,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2018,USA,111,United States,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2018,USA,111,United States,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2018,USA,111,United States,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2018,USA,111,United States,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2019,USA,111,United States,2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2019,USA,111,United States,2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2019,USA,111,United States,2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2019,USA,111,United States,2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2020,USA,111,United States,2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2020,USA,111,United States,2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2020,USA,111,United States,2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2020,USA,111,United States,2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2021,USA,111,United States,2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2021,USA,111,United States,2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2021,USA,111,United States,2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2021,USA,111,United States,2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2022,USA,111,United States,2022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2022,USA,111,United States,2022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2022,USA,111,United States,2022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2022,USA,111,United States,2022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2023,USA,111,United States,2023,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2023,USA,111,United States,2023,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2023,USA,111,United States,2023,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2023,USA,111,United States,2023,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/2024,USA,111,United States,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/2024,USA,111,United States,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/2024,USA,111,United States,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/2024,USA,111,United States,2024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1960,GBR,112,United Kingdom,1960,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4/1/1960,GBR,112,United Kingdom,1960,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7/1/1960,GBR,112,United Kingdom,1960,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10/1/1960,GBR,112,United Kingdom,1960,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1/1/1961,GBR,112,United Kingdom,1961,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4/1/1961,GBR,112,United Kingdom,1961,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7/1/1961,GBR,112,United Kingdom,1961,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
