Country,Date,CAB
BOSNIA_AND_HERZEGOVINA,2024Q3,
BULGARIA,1995Q1,
BULGARIA,1995Q2,
BULGARIA,1995Q3,
BULGARIA,1995Q4,
BULGARIA,1996Q1,
BULGARIA,1996Q2,
BULGARIA,1996Q3,
BULGARIA,1996Q4,
BULGARIA,1997Q1,
BULGARIA,1997Q2,
BULGARIA,1997Q3,
BULGARIA,1997Q4,
BULGARIA,1998Q1,2.832463
BULGARIA,1998Q2,1.8479012
BULGARIA,1998Q3,-3.1303846
BULGARIA,1998Q4,-1.907915
BULGARIA,1999Q1,-4.790486
BULGARIA,1999Q2,-6.2618377
BULGARIA,1999Q3,-5.7680931
BULGARIA,1999Q4,-2.9196524
BULGARIA,2000Q1,-7.5981936
BULGARIA,2000Q2,-3.374057
BULGARIA,2000Q3,-5.0339924
BULGARIA,2000Q4,-5.9398637
BULGARIA,2001Q1,-3.6848563
BULGARIA,2001Q2,-4.7999616
BULGARIA,2001Q3,-9.0438828
BULGARIA,2001Q4,-4.1834377
BULGARIA,2002Q1,-1.7573676
BULGARIA,2002Q2,-2.4960748
BULGARIA,2002Q3,-0.70711233
BULGARIA,2002Q4,-5.4941272
BULGARIA,2003Q1,-4.3570379
BULGARIA,2003Q2,-8.8834201
BULGARIA,2003Q3,-3.7894644
BULGARIA,2003Q4,-5.6785461
BULGARIA,2004Q1,-6.8346141
BULGARIA,2004Q2,-7.4766497
BULGARIA,2004Q3,-3.2895172
BULGARIA,2004Q4,-9.0611631
BULGARIA,2005Q1,-7.7273173
BULGARIA,2005Q2,-10.254592
BULGARIA,2005Q3,-14.062122
BULGARIA,2005Q4,-13.131895
BULGARIA,2006Q1,-17.665896
BULGARIA,2006Q2,-13.723412
BULGARIA,2006Q3,-17.454134
BULGARIA,2006Q4,-19.90416
BULGARIA,2007Q1,-25.495846
BULGARIA,2007Q2,-22.001446
BULGARIA,2007Q3,-24.720457
BULGARIA,2007Q4,-23.818448
BULGARIA,2008Q1,-21.98044
BULGARIA,2008Q2,-25.415163
BULGARIA,2008Q3,-20.789327
BULGARIA,2008Q4,-20.804269
BULGARIA,2009Q1,-13.284018
BULGARIA,2009Q2,-11.896031
BULGARIA,2009Q3,-7.7112632
BULGARIA,2009Q4,-2.2571295
BULGARIA,2010Q1,-2.7749965
BULGARIA,2010Q2,-2.7943661
BULGARIA,2010Q3,1.9796185
BULGARIA,2010Q4,-3.8131713
BULGARIA,2011Q1,1.9129176
BULGARIA,2011Q2,0.88919646
BULGARIA,2011Q3,-1.2978393
BULGARIA,2011Q4,-0.87309203
BULGARIA,2012Q1,-1.9118533
BULGARIA,2012Q2,-2.8466925
BULGARIA,2012Q3,-1.0648974
BULGARIA,2012Q4,1.1055741
