cn,ccode,cn_2,date2,pct_ca,ca,pct_ca_sa_2,date3
196,NZL,New Zealand,7/1/2015,,-2.05552757491816,,2015q3
196,NZL,New Zealand,10/1/2015,,-2.66616480035131,,2015q4
196,NZL,New Zealand,1/1/2016,,-1.53261402648357,,2016q1
196,NZL,New Zealand,4/1/2016,,-1.98154180238871,,2016q2
196,NZL,New Zealand,7/1/2016,,-2.62683453773374,,2016q3
196,NZL,New Zealand,10/1/2016,,-2.06512638984769,,2016q4
196,NZL,New Zealand,1/1/2017,,-3.52131852382658,,2017q1
196,NZL,New Zealand,4/1/2017,,-2.16436103866652,,2017q2
196,NZL,New Zealand,7/1/2017,,-2.43460207612457,,2017q3
196,NZL,New Zealand,10/1/2017,,-3.07267111038855,,2017q4
196,NZL,New Zealand,1/1/2018,,-4.53141647223833,,2018q1
196,NZL,New Zealand,4/1/2018,,-4.29764113437583,,2018q2
196,NZL,New Zealand,7/1/2018,,-3.89429397843808,,2018q3
196,NZL,New Zealand,10/1/2018,,-3.9009078239577,,2018q4
196,NZL,New Zealand,1/1/2019,,-3.25413819188902,,2019q1
196,NZL,New Zealand,4/1/2019,,-3.12728464466685,,2019q2
196,NZL,New Zealand,7/1/2019,,-2.82627996448653,,2019q3
196,NZL,New Zealand,10/1/2019,,-2.24265200945048,,2019q4
196,NZL,New Zealand,1/1/2020,,-.924851254108074,,2020q1
196,NZL,New Zealand,4/1/2020,,.105568037246569,,2020q2
196,NZL,New Zealand,7/1/2020,,-.958198445142844,,2020q3
196,NZL,New Zealand,10/1/2020,,-2.62409901536321,,2020q4
196,NZL,New Zealand,1/1/2021,,-6.18741226017782,,2021q1
196,NZL,New Zealand,4/1/2021,,-3.69446169480043,,2021q2
196,NZL,New Zealand,7/1/2021,,-5.94521600447026,,2021q3
196,NZL,New Zealand,10/1/2021,,-7.66474196229976,,2021q4
196,NZL,New Zealand,1/1/2022,,-9.70068597392858,,2022q1
196,NZL,New Zealand,4/1/2022,,-7.59856707252063,,2022q2
196,NZL,New Zealand,7/1/2022,,,,2022q3
142,NOR,Norway,1/1/1955,,,,1955q1
142,NOR,Norway,4/1/1955,,,,1955q2
142,NOR,Norway,7/1/1955,,,,1955q3
142,NOR,Norway,10/1/1955,,,,1955q4
142,NOR,Norway,1/1/1956,,,,1956q1
142,NOR,Norway,4/1/1956,,,,1956q2
142,NOR,Norway,7/1/1956,,,,1956q3
142,NOR,Norway,10/1/1956,,,,1956q4
142,NOR,Norway,1/1/1957,,,,1957q1
142,NOR,Norway,4/1/1957,,,,1957q2
142,NOR,Norway,7/1/1957,,,,1957q3
142,NOR,Norway,10/1/1957,,,,1957q4
142,NOR,Norway,1/1/1958,,,,1958q1
142,NOR,Norway,4/1/1958,,,,1958q2
142,NOR,Norway,7/1/1958,,,,1958q3
142,NOR,Norway,10/1/1958,,,,1958q4
142,NOR,Norway,1/1/1959,,,,1959q1
142,NOR,Norway,4/1/1959,,,,1959q2
142,NOR,Norway,7/1/1959,,,,1959q3
142,NOR,Norway,10/1/1959,,,,1959q4
142,NOR,Norway,1/1/1960,,,,1960q1
142,NOR,Norway,4/1/1960,,,,1960q2
142,NOR,Norway,7/1/1960,,,,1960q3
142,NOR,Norway,10/1/1960,,,,1960q4
142,NOR,Norway,1/1/1961,,,,1961q1
142,NOR,Norway,4/1/1961,,,,1961q2
142,NOR,Norway,7/1/1961,,,,1961q3
142,NOR,Norway,10/1/1961,,,,1961q4
